wr_id,date_requested,prob_type,date_completed,bl_id
63946,00:00.0,CARPENTRY                       ,00:00.0,B00038  
63948,00:00.0,FLOOR                           ,00:00.0,B00038  
63949,00:00.0,ELEC/GENERAL                    ,00:00.0,B00038  
63950,00:00.0,DOOR                            ,00:00.0,B00038  
63952,00:00.0,CEILTILE                        ,00:00.0,B00038  
63954,00:00.0,OVERHDDOOR                      ,00:00.0,B07051  
63955,00:00.0,OVERHDDOOR                      ,00:00.0,B06176  
63956,00:00.0,OVERHDDOOR                      ,00:00.0,B04003  
63961,00:00.0,OVERHDDOOR                      ,00:00.0,B00057  
64013,00:00.0,ELEC/LIGHT                      ,,B06002  
64017,00:00.0,FENCE_GATE                      ,00:00.0,B08587  
64054,00:00.0,ROOF                            ,00:00.0,B08450  
64143,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B07021  
64174,00:00.0,ROOF                            ,,B06280  
64176,00:00.0,PAINTING                        ,,B06280  
64178,00:00.0,CARPENTRY                       ,,B06280  
64219,00:00.0,CARPENTRY                       ,00:00.0,B00121  
64251,00:00.0,OVERHDDOOR                      ,00:00.0,B04029  
64317,00:00.0,WINDOW                          ,00:00.0,B00057  
64346,00:00.0,DOOR                            ,,B00057  
64391,00:00.0,OVERHDDOOR                      ,00:00.0,B04021  
64392,00:00.0,OVERHDDOOR                      ,00:00.0,B06176  
64395,00:00.0,DOOR                            ,00:00.0,B08535  
64447,00:00.0,OVERHDDOOR                      ,00:00.0,B07936  
64472,00:00.0,ELEC/SECURITY                   ,00:00.0,C06112  
64495,00:00.0,OVERHDDOOR                      ,00:00.0,B04005  
64500,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B98664  
64501,00:00.0,WINDOW                          ,00:00.0,B00057  
64510,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,B00057  
64513,00:00.0,OTHER                           ,,B00181  
64554,00:00.0,OVERHDDOOR                      ,00:00.0,B04004  
64555,00:00.0,OVERHDDOOR                      ,00:00.0,B04016  
64589,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,B00057  
64599,00:00.0,DOOR                            ,00:00.0,B00058  
64623,00:00.0,OUTLETS                         ,,B00182  
64633,00:00.0,ELEC/SECURITY                   ,,B00051  
64650,00:00.0,OTHER                           ,,B02300  
64664,00:00.0,OVERHDDOOR                      ,00:00.0,B04021  
64665,00:00.0,OVERHDDOOR                      ,00:00.0,B04011  
64668,00:00.0,OVERHDDOOR                      ,00:00.0,B00005  
64669,00:00.0,SERV/SECURITY                   ,00:00.0,B00005  
64708,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00056  
64778,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B04022  
64780,00:00.0,OVERHDDOOR                      ,00:00.0,B04011  
64857,00:00.0,BUILDING INTERIOR INSPECTION    ,00:00.0,B00038  
64858,00:00.0,LOCK                            ,00:00.0,B00038  
64859,00:00.0,LOCK                            ,00:00.0,B00038  
64862,00:00.0,LOCK                            ,00:00.0,B00038  
64866,00:00.0,LOCK                            ,00:00.0,B00038  
64867,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
64868,00:00.0,SNOW_REMOVAL                    ,00:00.0,B00038  
64869,00:00.0,WINDOW                          ,00:00.0,B00038  
64870,00:00.0,DOOR                            ,00:00.0,B00038  
64871,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
64872,00:00.0,SNOW_REMOVAL                    ,00:00.0,B00038  
64874,00:00.0,ELEC/LIGHT                      ,00:00.0,B00035  
64875,00:00.0,BUILDING INTERIOR INSPECTION    ,00:00.0,B00030  
64876,00:00.0,BUILDING INTERIOR INSPECTION    ,00:00.0,B00022  
64899,00:00.0,ELEC/LIGHT                      ,00:00.0,B00028  
64900,00:00.0,BUILDING INTERIOR INSPECTION    ,00:00.0,B00029  
64901,00:00.0,BUILDING INTERIOR INSPECTION    ,00:00.0,B00032  
64903,00:00.0,SERV/CUSTODIAL                  ,00:00.0,B00038  
64904,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00038  
64906,00:00.0,FLOOR                           ,00:00.0,B00038  
64908,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
64909,00:00.0,FLOOR                           ,00:00.0,B00038  
64910,00:00.0,LOCK                            ,00:00.0,B00038  
64911,00:00.0,LOCK                            ,00:00.0,B00038  
64914,00:00.0,CEILTILE                        ,00:00.0,B00038  
64915,00:00.0,LOCK                            ,00:00.0,B00038  
64916,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
64917,00:00.0,BUILDING INTERIOR INSPECTION    ,00:00.0,B00038  
64944,00:00.0,ELEVATOR                        ,00:00.0,B00038  
64945,00:00.0,LOCK                            ,00:00.0,B00038  
64946,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
64947,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
64948,00:00.0,SNOW_REMOVAL                    ,00:00.0,B00058  
64971,00:00.0,WINDOW                          ,,B06047  
64992,00:00.0,FIRE SUPPRESSION-PROTECTION     ,00:00.0,B00020  
64999,00:00.0,OVERHDDOOR                      ,00:00.0,B04024  
65001,00:00.0,OTHER                           ,,B00182  
65017,00:00.0,ELEC/LIGHT                      ,00:00.0,B00038  
65018,00:00.0,CEILTILE                        ,00:00.0,B00038  
65019,00:00.0,CEILTILE                        ,00:00.0,B00038  
65021,00:00.0,SERV/CUSTODIAL                  ,00:00.0,B00038  
65027,00:00.0,OVERHDDOOR                      ,00:00.0,P01050  
65054,00:00.0,ROOF                            ,00:00.0,B04026  
65057,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,
65103,00:00.0,OTHER                           ,00:00.0,B06047  
65124,00:00.0,OTHER                           ,,B00124  
65143,00:00.0,OVERHDDOOR                      ,00:00.0,B00062  
65144,00:00.0,OVERHDDOOR                      ,00:00.0,B00062  
65154,00:00.0,OTHER                           ,00:00.0,B00081  
65161,00:00.0,OVERHDDOOR                      ,00:00.0,B04013  
65165,00:00.0,FENCE_GATE                      ,00:00.0,B08597  
65168,00:00.0,OTHER                           ,00:00.0,
65169,00:00.0,OTHER                           ,00:00.0,
65212,00:00.0,FENCE_GATE                      ,00:00.0,B06028  
65217,00:00.0,PLUMB/OTHER                     ,00:00.0,B00122  
65261,00:00.0,WINDOW                          ,00:00.0,B00021  
65264,00:00.0,OVERHDDOOR                      ,00:00.0,B04011  
65371,00:00.0,DOOR                            ,00:00.0,B00124  
65377,00:00.0,OTHER                           ,00:00.0,B06040  
